Robot Drawing Waypoints:
----------------------

Point 253: X=299, Y=229, Z=0, Pen=Down
Point 254: X=293, Y=229, Z=0, Pen=Down
Point 255: X=292, Y=228, Z=0, Pen=Down
Point 256: X=290, Y=228, Z=0, Pen=Down
Point 257: X=289, Y=227, Z=0, Pen=Down
Point 258: X=287, Y=227, Z=0, Pen=Down
Point 259: X=285, Y=225, Z=0, Pen=Down
Point 260: X=284, Y=225, Z=0, Pen=Down
Point 261: X=283, Y=224, Z=0, Pen=Down
Point 262: X=282, Y=224, Z=0, Pen=Down
Point 263: X=276, Y=218, Z=0, Pen=Down
Point 264: X=276, Y=217, Z=0, Pen=Down
Point 265: X=275, Y=216, Z=0, Pen=Down
Point 266: X=275, Y=215, Z=0, Pen=Down
Point 267: X=273, Y=213, Z=0, Pen=Down
Point 268: X=273, Y=211, Z=0, Pen=Down
Point 269: X=272, Y=210, Z=0, Pen=Down
Point 270: X=272, Y=208, Z=0, Pen=Down
Point 271: X=271, Y=207, Z=0, Pen=Down
Point 272: X=271, Y=201, Z=0, Pen=Down
Point 273: X=270, Y=200, Z=0, Pen=Down
Point 274: X=271, Y=199, Z=0, Pen=Down
Point 275: X=271, Y=193, Z=0, Pen=Down
Point 276: X=272, Y=192, Z=0, Pen=Down
Point 277: X=272, Y=190, Z=0, Pen=Down
Point 278: X=273, Y=189, Z=0, Pen=Down
Point 279: X=273, Y=187, Z=0, Pen=Down
Point 280: X=275, Y=185, Z=0, Pen=Down
Point 281: X=275, Y=184, Z=0, Pen=Down
Point 282: X=276, Y=183, Z=0, Pen=Down
Point 283: X=276, Y=182, Z=0, Pen=Down
Point 284: X=282, Y=176, Z=0, Pen=Down
Point 285: X=283, Y=176, Z=0, Pen=Down
Point 286: X=284, Y=175, Z=0, Pen=Down
Point 287: X=285, Y=175, Z=0, Pen=Down
Point 288: X=287, Y=173, Z=0, Pen=Down
Point 289: X=289, Y=173, Z=0, Pen=Down
Point 290: X=290, Y=172, Z=0, Pen=Down
Point 291: X=292, Y=172, Z=0, Pen=Down
Point 292: X=293, Y=171, Z=0, Pen=Down
Point 293: X=293, Y=171, Z=10, Pen=Up
Point 294: X=199, Y=171, Z=10, Pen=Up
Point 295: X=199, Y=171, Z=0, Pen=Down
Point 296: X=200, Y=170, Z=0, Pen=Down
Point 297: X=201, Y=171, Z=0, Pen=Down
Point 298: X=207, Y=171, Z=0, Pen=Down
Point 299: X=208, Y=172, Z=0, Pen=Down
Point 300: X=210, Y=172, Z=0, Pen=Down
Point 301: X=211, Y=173, Z=0, Pen=Down
Point 302: X=213, Y=173, Z=0, Pen=Down
Point 303: X=215, Y=175, Z=0, Pen=Down
Point 304: X=216, Y=175, Z=0, Pen=Down
Point 305: X=217, Y=176, Z=0, Pen=Down
Point 306: X=218, Y=176, Z=0, Pen=Down
Point 307: X=224, Y=182, Z=0, Pen=Down
Point 308: X=224, Y=183, Z=0, Pen=Down
Point 309: X=225, Y=184, Z=0, Pen=Down
Point 310: X=225, Y=185, Z=0, Pen=Down
Point 311: X=227, Y=187, Z=0, Pen=Down
Point 312: X=227, Y=189, Z=0, Pen=Down
Point 313: X=228, Y=190, Z=0, Pen=Down
Point 314: X=228, Y=192, Z=0, Pen=Down
Point 315: X=229, Y=193, Z=0, Pen=Down
Point 316: X=229, Y=199, Z=0, Pen=Down
Point 317: X=230, Y=200, Z=0, Pen=Down
Point 318: X=229, Y=201, Z=0, Pen=Down
Point 319: X=229, Y=207, Z=0, Pen=Down
Point 320: X=228, Y=208, Z=0, Pen=Down
Point 321: X=228, Y=210, Z=0, Pen=Down
Point 322: X=227, Y=211, Z=0, Pen=Down
Point 323: X=227, Y=213, Z=0, Pen=Down
Point 324: X=225, Y=215, Z=0, Pen=Down
Point 325: X=225, Y=216, Z=0, Pen=Down
Point 326: X=224, Y=217, Z=0, Pen=Down
Point 327: X=224, Y=218, Z=0, Pen=Down
Point 328: X=218, Y=224, Z=0, Pen=Down
Point 329: X=217, Y=224, Z=0, Pen=Down
Point 330: X=216, Y=225, Z=0, Pen=Down
Point 331: X=215, Y=225, Z=0, Pen=Down
Point 332: X=213, Y=227, Z=0, Pen=Down
Point 333: X=211, Y=227, Z=0, Pen=Down
Point 334: X=210, Y=228, Z=0, Pen=Down
Point 335: X=208, Y=228, Z=0, Pen=Down
Point 336: X=207, Y=229, Z=0, Pen=Down
Point 337: X=201, Y=229, Z=0, Pen=Down
Point 338: X=200, Y=230, Z=0, Pen=Down
Point 339: X=199, Y=229, Z=0, Pen=Down
Point 340: X=193, Y=229, Z=0, Pen=Down
Point 341: X=192, Y=228, Z=0, Pen=Down
Point 342: X=190, Y=228, Z=0, Pen=Down
Point 343: X=189, Y=227, Z=0, Pen=Down
Point 344: X=187, Y=227, Z=0, Pen=Down
Point 345: X=185, Y=225, Z=0, Pen=Down
Point 346: X=184, Y=225, Z=0, Pen=Down
Point 347: X=183, Y=224, Z=0, Pen=Down
